,mean_accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/lr,config/momentum,logdir
0,0.896875,1708420431,,True,100,57289_00000,2024-02-20_10-13-51,0.06172800064086914,6.7313690185546875,74274,mikhail.local,192.168.100.19,6.7313690185546875,100,0.00334792252309647,0.5655277515808503,57289_00000
1,0.14375,1708420425,,True,4,57289_00001,2024-02-20_10-13-45,0.07245063781738281,0.31057143211364746,74275,mikhail.local,192.168.100.19,0.31057143211364746,4,0.0003962201912231631,0.2017715687608287,57289_00001
2,0.91875,1708420431,,True,100,57289_00002,2024-02-20_10-13-51,0.0607149600982666,6.6758973598480225,74276,mikhail.local,192.168.100.19,6.6758973598480225,100,0.008961428419678733,0.8000835044888006,57289_00002
3,0.11875,1708420425,,True,1,57289_00003,2024-02-20_10-13-45,0.09227991104125977,0.09227991104125977,74277,mikhail.local,192.168.100.19,0.09227991104125977,1,0.00376727392752977,0.7051516100155023,57289_00003
4,0.184375,1708420425,,True,4,57289_00004,2024-02-20_10-13-45,0.07219290733337402,0.4239528179168701,74278,mikhail.local,192.168.100.19,0.4239528179168701,4,0.00013788284324845108,0.3247306191691718,57289_00004
5,0.11875,1708420425,,True,1,57289_00005,2024-02-20_10-13-45,0.15700507164001465,0.15700507164001465,74279,mikhail.local,192.168.100.19,0.15700507164001465,1,0.0002435686913942915,0.31033408926528444,57289_00005
6,0.128125,1708420425,,True,1,57289_00006,2024-02-20_10-13-45,0.08823013305664062,0.08823013305664062,74277,mikhail.local,192.168.100.19,0.08823013305664062,1,0.00016471632103658352,0.8540609144068201,57289_00006
7,0.10625,1708420425,,True,1,57289_00007,2024-02-20_10-13-45,0.08747720718383789,0.08747720718383789,74275,mikhail.local,192.168.100.19,0.08747720718383789,1,0.00023319101709640388,0.5034674359754719,57289_00007
8,0.090625,1708420425,,True,1,57289_00008,2024-02-20_10-13-45,0.14322614669799805,0.14322614669799805,74279,mikhail.local,192.168.100.19,0.14322614669799805,1,0.00016888170259437088,0.3694015618676,57289_00008
9,0.090625,1708420425,,True,1,57289_00009,2024-02-20_10-13-45,0.08862018585205078,0.08862018585205078,74277,mikhail.local,192.168.100.19,0.08862018585205078,1,0.0013999968120145157,0.7678934219338339,57289_00009
10,0.084375,1708420425,,True,1,57289_00010,2024-02-20_10-13-45,0.09026193618774414,0.09026193618774414,74275,mikhail.local,192.168.100.19,0.09026193618774414,1,0.0013147897252451526,0.2936257139779428,57289_00010
11,0.08125,1708420425,,True,1,57289_00011,2024-02-20_10-13-45,0.09182095527648926,0.09182095527648926,74277,mikhail.local,192.168.100.19,0.09182095527648926,1,0.0033310040145460417,0.10150677864448446,57289_00011
12,0.071875,1708420425,,True,1,57289_00012,2024-02-20_10-13-45,0.09008312225341797,0.09008312225341797,74279,mikhail.local,192.168.100.19,0.09008312225341797,1,0.0003059226471363249,0.20856789094742778,57289_00012
13,0.11875,1708420425,,True,1,57289_00013,2024-02-20_10-13-45,0.0881500244140625,0.0881500244140625,74275,mikhail.local,192.168.100.19,0.0881500244140625,1,0.0013430589314526004,0.7635872815654722,57289_00013
14,0.10625,1708420425,,True,1,57289_00014,2024-02-20_10-13-45,0.09009027481079102,0.09009027481079102,74277,mikhail.local,192.168.100.19,0.09009027481079102,1,0.0012701650828118524,0.8903760203958088,57289_00014
15,0.096875,1708420425,,True,1,57289_00015,2024-02-20_10-13-45,0.08705401420593262,0.08705401420593262,74279,mikhail.local,192.168.100.19,0.08705401420593262,1,0.0013675583933850668,0.5582684359734098,57289_00015
16,0.10625,1708420425,,True,1,57289_00016,2024-02-20_10-13-45,0.08426976203918457,0.08426976203918457,74278,mikhail.local,192.168.100.19,0.08426976203918457,1,0.000230446711736751,0.18925287152233816,57289_00016
17,0.0625,1708420425,,True,1,57289_00017,2024-02-20_10-13-45,0.08655905723571777,0.08655905723571777,74277,mikhail.local,192.168.100.19,0.08655905723571777,1,0.00033763609383458836,0.5695395089234326,57289_00017
